Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
"Kahei Co., Ltd.",Manufacturing,"The Kiyo Bank, Ltd. ","March, 2023",5 years,"Rating & Investment Information, Inc.",0.1,billion yen,"①Reduce GHG emissions (Scope 1+2) in FY2030 by 46% or more compared to the actual level in FY2019 
(Results: Average reduction rate of approximately 2.1% over the past two years with FY2019 as the base year) 
【Interim Target】 
FY2023: 5% 
FY2024: 10%
FY2025: 20%
FY2026: 25%
FY2027: 30%
② Eggshell leather sales volume 
(Actual: commercialized in FY2022, no sales results)
【Target】  
FY2023 5,000m 
FY2024 10,000m 
FY2025: 20,000m 
FY2026 500,000m 
FY 2027: 1,000,000m","SPTs will be assessed each year beginning in FY2023, and the loan interest rate will change for the next year if one of the SPTs is achieved.","Kahei will report to the lender in writing by June 30 of each year on its progress in achieving the SPTs. In addition, KPIs will be disclosed on the company's website on an ongoing basis over the term of the loan."
"Kasumigaseki Capital Co.,Ltd.",Real estate and construction,"THE YAMANASHI CHUO BANK, LTD.","March, 2023",ー,"Rating & Investment Information, Inc.",0.03,billion yen,Obtained a rank of A or 4 stars or higher in CASBEE and DBJ Green Building certification for all logistics facilities completed in each of the fiscal years 2023 to 2025.,"If the SPT is achieved, the interest rate will be stepped down by the amount previously discussed and determined with the lender from the day following the judgment date to the next judgment date, and if not achieved, the interest rate will return to the initially applied rate.",KPI results and other items shall be published on the Kasumigaseki Capital website for the period of the fiscal year preceding the fiscal year to which the reporting date belongs.
"KENTECH Co.,Ltd.",Transportation,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.2,billion yen,"①Percentage of environmentally friendly trucks owned
FY2023: 10％
FY2024: 20％
FY2025: 30％
FY2026: 40% 
②Percentage of environmentally friendly passenger vehicles owned
FY2023: 34.80％
FY2024: 37.90％
FY2025: 60.90％
FY2026: 74.00% ","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
KIDEN,"Electronic components, devices, information equipment, etc.","Daishi Hokuetsu Bank, Ltd","March, 2023",ー,"Rating & Investment Information, Inc.
Daishi Hokuetsu Research & Consulting.Ltd.",0.1,billion yen,"Set a target for each fiscal year to reduce greenhouse gas (GHG) emissions at a level (at a pace of 4.2% per year) that can achieve the 1.5°C scenario required by the Paris Agreement, based on the GHG emissions at the end of October 2022.","In principle, a mechanism has been set up to check the achievement status of SPT on an annual basis and to reduce the interest rate according to the level of achievement.","Once a year, Daishi Hokuetsu Research & Consulting will report on the status of SPT achievement based on client information. Disclosure of the reporting information is at the discretion of the client."
KIMURA INDUSTRY,Manufacturing,"The Bank of Kyoto, Ltd.","March, 2023",ー,"Japan Credit Rating Agency, Ltd.",ー,,"Reduction of CO2 emissions from business activities 
(Actual emissions in base year:376.0t）
【Targets】 (Figures in parentheses indicate reduction rate) 
FY2022　360.4t (－4.1％)
FY2023　360.4t (－4.1％)
FY2024  360.4t (－4.1％)",Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"Kyosankogyo Co.,Ltd. ",Transportation Machinery,"Tsukuba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.",ー,,"Set "" net electricity consumption"" to 0 kW or less.（KPI）",The incentive design is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of SPTs shall be reported to Tsukuba Bank's branch offices using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work. In principle, the contents of the reports on the borrower's website, etc. will not be disclosed to the public."
"Kyoto Electron Co., Ltd.",Manufacturing,"The Bank of Kyoto, Ltd.","March, 2023",ー,"Japan Credit Rating Agency, Ltd.",ー,,"Reduction of CO2 emissions from business activities 
(Actual emissions in base year: 111.2t）
【Targets】 (Figures in parentheses indicate reduction rate) 
FY2022　106.7t (－4.0％)
FY2023　106.3t (－4.4％)
FY2024  106.0t (－4.7％)",Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"Lapin, Inc.",Others (including service industry),"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.15,billion yen,Reduce CO2 emission rate by 36.40% from FY2021 by FY2034 (SPT for each fiscal year is also set),"Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
Medical Corporation EIJINKAI,Others (including service industry),"The Bank of Kyoto, Ltd.","March, 2023",ー,"Japan Credit Rating Agency, Ltd.",ー,,"Reduction of CO2 emissions from business activities 
(Actual emissions in base year: 1,845.6t）
【Targets】 (Figures in parentheses indicate reduction rate) 
FY2022　1,747.3t (－6.0％)
FY2023　1,744.8t (－6.1％)
FY2024  1,744.8t (－6.1％)",Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"Mori Kogyo Co.
(森興業)",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"CO2 emissions per 100 million yen of sales (t-CO2/100 million yen)
(actual results: CO2 emissions per 100 million yen in sales in FY2021 (Oct. 2021-Sep. 2022) 11.9780 (t-CO2/100 million yen) 
【Target】
(t-CO2/100 million yen, figures in parentheses indicate reduction rate compared to FY2021) 
FY2022 11.6545 (-2.7%) 
FY2023 11.3311 (-5.4%) 
FY2024 11.0077 (-8.1%) 
FY2025 10.6843 (-10.8%) 
FY2026 10.3609（-13.5%）","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"NextOne International Co.,Ltd.",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.264,billion yen,"①Percentage of ZEH homes built for sale
FY2023: 17.50％
FY2024: 35.00％
FY2025: 50.00%
FY2026: 60.00%
②Number of vacant houses purchased
FY2023: 61
FY2024: 63
FY2025: 65
FY2026: 67","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Odakyu Electric Railway Co., Ltd.",Transportation,Development Bank of Japan Inc.  ,"March, 2023",ー,ー,ー,,"Reduction rate of CO2 emissions (total volume basis, Scope 1 and 2) of Odakyu Electric Railway and Odakyu Electric Railway consolidated subsidiaries (excluding bus and cab business) (compared to FY2013) 
(actual results: 410,000 tons in FY2013, 340,000 tons in FY2019, 320,000 tons in FY2020, 310,000 tons in FY2021) 
【Target】
Reduction rate for FY2030: 46% (220,000 tons of CO2 emissions)","Linkage between SPT achievement status and lending conditions, etc.","Updates on the progress and achievement of performance related to the SPT will be reported to the DBJ on an annual basis. Information on the status of achievement of the SPT for FY2030 will be disclosed on Odakyu Corporation's website, etc."
Orient Corporation,Finance (including REITs),"Mizuho Bank, Ltd.","March, 2023",5 years,"Rating & Investment Information, Inc.",29.1,billion yen,Annual auto loan transaction volume in Southeast Asia (new cars are limited to EVs) to be 81.9 billion yen by FY3/25.,Step down in borrowing rates when SPT is achieved,Disclose the status of achievement of the set SPTs on an annual basis on the website until the Sustainability Linked Financing is redeemed/repaid.
Orient Corporation,Finance (including REITs),"MUFG Bank, Ltd.","March, 2023",5 years,"Rating & Investment Information, Inc.",28.9,billion yen,Annual auto loan transaction volume in Southeast Asia (new cars are limited to EVs) to be 81.9 billion yen by FY3/25.,Step down in borrowing rates when SPT is achieved,Disclose the status of achievement of the set SPTs on an annual basis on the website until the Sustainability Linked Financing is redeemed/repaid.
Orient Corporation,Finance (including REITs),"Sumitomo Mitsui Trust Bank, Limited","March, 2023",5 years,"Rating & Investment Information, Inc.",18.4,billion yen,Annual auto loan transaction volume in Southeast Asia (new cars are limited to EVs) to be 81.9 billion yen by FY3/25.,Step down in borrowing rates when SPT is achieved,Disclose the status of achievement of the set SPTs on an annual basis on the website until the Sustainability Linked Financing is redeemed/repaid.
Orient Corporation,Finance (including REITs),Development Bank of Japan Inc.  ,"March, 2023",5 years,"Rating & Investment Information, Inc.",4,billion yen,Annual auto loan transaction volume in Southeast Asia (new cars are limited to EVs) to be 81.9 billion yen by FY3/25.,Step down in borrowing rates when SPT is achieved,Disclose the status of achievement of the set SPTs on an annual basis on the website until the Sustainability Linked Financing is redeemed/repaid.
Orient Corporation,Finance (including REITs),"Aozora Bank, Ltd.","March, 2023",5 years,"Rating & Investment Information, Inc.",3,billion yen,Annual auto loan transaction volume in Southeast Asia (new cars are limited to EVs) to be 81.9 billion yen by FY3/25.,Step down in borrowing rates when SPT is achieved,Disclose the status of achievement of the set SPTs on an annual basis on the website until the Sustainability Linked Financing is redeemed/repaid.
"RISING CORPORATION
（ライジングコーポレーション）",Real estate and construction,"THE SAN-IN GODO BANK,LTD．","March, 2023",ー,"Japan Credit Rating Agency, Ltd.",0.1,billion yen,"①Total installed capacity of photovoltaic power generation systems
FY2023-FY2025: 28,318kW
②Installation rate of photovoltaic power generation systems for new houses
FY2023-FY2025: 60% ","A mechanism has been set up to check the achievement status of SPTs on an annual basis in principle, and to reduce interest rates according to the level of achievement.","Once a year, a report on the status of achievement of SPTs will be provided to THE SAN-IN GODO BANK. Reporting information will be provided at the discretion of Rising Corporation."
"Sanwakensetsu Co.,Ltd.",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"Percentage of total floor area of ZEH-M properties in total properties constructed
FY2023: 8.00％
FY2024: 16.00％
FY2025: 24.00％
FY2026: 32.00% ","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
SEIBU HOLDINGS INC.,Transportation,The Norinchukin Bank,"March, 2023",8 years,"Rating & Investment Information, Inc.",4,billion yen,"Achieve a ""Leadership Level (A, A-)"" on the CDP Climate Change Score","As an incentive for borrowers to achieve SPTs, the SPTs achievement status is checked annually, and the incentive design reduces the interest rate for the next applicable interest rate period when the SPTs are achieved.",Report annually to the Norinchukin Bank on the status of achievement of the SPTs and the results of verification of the actual performance of the KPIs.
SEIBU HOLDINGS INC.,Transportation,The Norinchukin Bank,"March, 2023",9 years,"Rating & Investment Information, Inc.",4,billion yen,"Achieve a ""Leadership Level (A, A-)"" on the CDP Climate Change Score","As an incentive for borrowers to achieve SPTs, the SPTs achievement status is checked annually, and the incentive design reduces the interest rate for the next applicable interest rate period when the SPTs are achieved.",Report annually to the Norinchukin Bank on the status of achievement of the SPTs and the results of verification of the actual performance of the KPIs.
SEIBU HOLDINGS INC.,Transportation,The Norinchukin Bank,"March, 2023",10 years,"Rating & Investment Information, Inc.",4,billion yen,"Achieve a ""Leadership Level (A, A-)"" on the CDP Climate Change Score","As an incentive for borrowers to achieve SPTs, the SPTs achievement status is checked annually, and the incentive design reduces the interest rate for the next applicable interest rate period when the SPTs are achieved.",Report annually to the Norinchukin Bank on the status of achievement of the SPTs and the results of verification of the actual performance of the KPIs.
"Shin Nihon Sanki Co.
(新日本三喜)",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"CO2 emission reduction rate (FY2021 basis)
FY2022: -2.70％
FY2023: -5.40％
FY2024: -8.10％
FY2025: -10.80%
FY2026: -13.50%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Shiratori Pharmaceutical Co.
(白鳥薬品)",Others (including service industry),"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"Reduction rate of CO2 emissions per 100 million yen of sales (FY2021 basis)
FY2022: -2.70％
FY2023: -5.40％
FY2024: -8.10％
FY2025: -10.80%
FY2026: -13.50%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
TODA CORPORATION,Real estate and construction,"Sumitomo Mitsui Trust Bank, Limited","March, 2023",ー,"Rating & Investment Information, Inc.",ー,,"＜SPTs determination date that falls on or before September 2025＞
① Reduce greenhouse gas emissions (Scope 1+2) of the Toda Group by at least 16.8% relative to FY2020 levels.
② Reduce greenhouse gas emissions (Scope 3) of the Toda Group by at least 10.0% of the FY2020 level.
＜SPTs determination dates falling on or after September 2026 >
③　Reduce greenhouse gas emissions of the Toda Construction Group (Scope 1+2) by 42.0% or more compared to FY2020. 
④　Reduce greenhouse gas emissions (Scope 3) of the Toda Group by at least 25.0% of the FY2020 level.",The cash flow of the Sustainability Linked Loan is linked to the results of the SPTs determination and serves as an economic incentive for Toda Corporation Group.,"The first reporting period shall be the fiscal year following the fiscal year in which the Sustainability Linked Loan originated based on this framework, and the reporting period shall be until September 20 of each year for KPI-1 and 2, and within one month from the judgment date for KPI-3, and the prescribed disclosure items shall be disclosed individually to the lender or on Toda Corporation's website to the extent practicable."
"Tokyo Tatemono Co., Ltd.",Real estate and construction,Development Bank of Japan Inc.  ,"March, 2023",ー,ー,ー,,"In principle, 100% of all newly constructed office buildings, logistics facilities, condominiums, and rental apartments shall acquire ZEB and ZEH (including ZEH and ZEH-M) certification each year.","Linkage between SPT achievement status and lending conditions, etc.","The latest information on the progress and achievement of performance related to the SPT will be reported to the DBJ once a year, together with the accumulation of certificates from external organizations. Information on the status of achievement of the SPT for FY2030 will be disclosed on the website of Tokyo Tatemono, etc."
TOKYU CORPORATION,Transportation,TAIYO LIFE INSURANCE COMPANY,"March, 2023",ー,"Japan Credit Rating Agency, Ltd.",ー,,"Reduce CO2 emissions of Tokyu Corporation and its consolidated subsidiaries (on a total volume basis, Scope 1&2) by 46.2% in FY2030 (compared to FY2019)",Preferential interest rate spread based on SPT achievement,"Tokyu plans to disclose to investors the progress of KPI performance after the end of each fiscal year. Tokyu plans to obtain an independent third-party assurance report on the progress of the SPT at least once a year until the date of determination, and report it on the Tokyu website or to the lender."
"Tsuji suisan Co., Ltd. ","Food, Beverages, Tobacco, etc.","The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.3,billion yen,"Reduction rate of CO2 emissions per 100 million yen of sales ( FY 2019 basis)
FY2022: -39.93％
FY2023: -40.68％
FY2024: -41.50％
FY2025: -42.25%
FY2026: -43.07%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Tsuyakin
（艶金）",Manufacturing,THE SHIGA BANK，LTD．,"March, 2023",ー,"Shigagin Keizai Bunka Center CO.,LTD.（KEIBUN）",0.05,billion yen,"Reduction rate of CO2 emissions (compared to FY 2018) 
(actual result: 38.7% in FY2022) 
【Target】 
FY2030 50%","Lending terms are linked to the achievement of SPTs, and economic incentives are set.","After verification by KEIBUN of the actual values of the KPIs for the previous year, Tsuyakin will announce on its website or report in writing to the Shiga Bank on the status of achievement of the SPTs."
"Young Development Co., Ltd.
（ヤング開発）",Real estate and construction,"THE SAN-IN GODO BANK,LTD．","March, 2023",ー,"Japan Credit Rating Agency, Ltd.",0.3,billion yen,Increase the ratio of ZEHs to 90% of all houses sold (FY2023-FY2026),"A mechanism has been set up to check the achievement status of SPTs on an annual basis in principle, and to reduce interest rates according to the level of achievement.","Once a year, a report on the status of achievement of SPTs will be provided to THE SAN-IN GODO BANK. Reporting information will be provided at the discretion of Rising Corporation."
" T.T.C CO., LTD.",Others (including service industry),"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.2,billion yen,"CO2 emissions from business activities
(actual results: CO2 emissions in FY2021 (August 2021 - July 2022): 104.39 t-CO2) 
【Target】 
 (t-CO2, figures in parentheses indicate reduction rate compared to FY2021) 
FY2022　101.58 (-2.7%) 
FY2023　98.76 (-5.4%) 
FY2024　95.94 (-8.1%) 
FY2025　93.12 (-10.8%) 
FY2026　90.30（-13.5%）","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"ARCHICEPT
(アーキセプト)",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.2,billion yen,"Percentage of ZEH Oriented level energy efficient homes sold in properties for sale
FY2023: 25.00%, FY2024: 50.00%, FY2025: 60.00%, FY2026: 70.00%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
GRIT,Others (including service industry),"The Hiroshima Bank, Ltd. ","March, 2023",10 years,HIROGIN area design Co. Ltd. ,0.053,billion yen,Improvement of annual paid leave utilization rate,Offer preferential interest rates when SPTs are achieved.,"Once a year, the SPTs achievement status is defined as a confirmation of the company's achievement of the SPTs with the value of the company's fiscal year. A company is required to obtain confirmation from Hirogin Area Design before conducting reporting. Public disclosure of reporting information is encouraged."
"Japan Investment Adviser Co., Ltd.",Finance (including REITs),"MUFG Bank, Ltd.","March, 2023",3 years,"Rating & Investment Information, Inc.",3,billion yen,"By the end of April 2024, the ratio of female managers (%) is to be 15.0% or more. 
By the end of April 2025, the ratio of female managers (%) is to be 20.0% or more.",Incentives to receive preferential interest rates based on SPT achievement,"The borrower shall provide a written report to the lender, due at the end of June of each year, on the actual performance of the KPI and verification of the related figures as of the end of the immediately preceding April."
KYOYU INDUSTRY CO. LTD.,Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"CO2 emissions per 100 million yen of sales 
【Target】
(t-CO2/100 million yen, figures in parentheses indicate reduction rate compared to FY2022) 
FY2023 15.39282 (-2.70%) 
FY2024 14.96568（-5.40％） 
FY2025 14.53855 (-8.10%) 
FY2026 14.11141（-10.80％）","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"MITSUBISHI ESTATE CO., LTD.",Real estate and construction,"MUFG Bank, Ltd.","March, 2023",4 years,"Japan Credit Rating Agency, Ltd.",15,billion yen,Achieve 100% share of electricity derived from renewable energy sources in FY2025,"In case of non-achievement of SPT, ""donation"" or ""purchase of voluntary credits, etc. recognized under the Japanese system or recognized by an international certification body"" will be implemented.",KPI results and updates on SPT's sustainability strategy are disclosed on an annual basis on the Mitsubishi Estate website.
"MITSUBISHI ESTATE CO., LTD.",Real estate and construction,"MUFG Bank, Ltd.","March, 2023",5 years,"Japan Credit Rating Agency, Ltd.",15,billion yen,Achieve 100% share of electricity derived from renewable energy sources in FY2025,"In case of non-achievement of SPT, ""donation"" or ""purchase of voluntary credits, etc. recognized under the Japanese system or recognized by an international certification body"" will be implemented.",KPI results and updates on SPT's sustainability strategy are disclosed on an annual basis on the Mitsubishi Estate website.
"Nomura Real Estate Private REIT, Inc.",Finance (including REITs),"Syndication method 
Sumitomo Mitsui Banking Corporation、MUFG Bank, Ltd.","March, 2023",9 years and 11 months,"Rating & Investment Information, Inc.",2,billion yen,Reduce total greenhouse gas emissions (Scope 1 and 2) by 80% by FY2030 compared to FY2021,The cash flows of Sustainability Linked Loans are linked to the SPTs determination results and serve as an economic incentive for the NPR.,"By the end of July of each fiscal year, NPR will submit to the lender prima facie documentation related to the previous year's KPI performance. However, these reports may be substituted for public disclosure of relevant information on a website."
"T.S.C CO.,LTD. ",Others (including service industry),"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"CO2 emission reduction rate (2022 basis)
FY2023: -2.70％
FY2024: -5.40％
FY2025: -8.10％
FY2026: -10.80%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Taikai Kougyou
(大海工業)",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.12,billion yen,"Reduction rate of CO2 emissions per 100 million yen of sales (FY2021 basis)
FY2023: - 5.4% 
FY2024: - 8.1% 
FY2025: - 10.8% 
FY2026: - 13.5%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"The Genba Kanri Systems co., ltd.",Real estate and construction,"The Chugoku Bank, Ltd","March, 2023",5 years,Okayama economic research institute,0.1,billion yen,"Percentage of mixed construction waste (%)
<Target>
FY2023 November: less than 14%
FY2024 November: less than 13%
FY2025 November: less than 12%
FY2026 November: less than 11%
FY2027 November: less than 10%",The system is designed to apply a pre-determined reduction in interest rates when the SPTs are achieved.,Submit materials showing the status of achievement of SPTs as of the judgment reference date in the prescribed form once a year until the fulfillment of the obligation is completed.
"Udagawa Co.,LTD",Wholesale and retail trade,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",ー,,"Number of eco-friendly standard passenger cars owned (cumulative)
FY2023: 6,　FY2024: 10, FY2025: 14, FY2026: 18","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"N Energy
(エヌエナジー)",Energy,"The Higo Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.　※",26.5,billion yen,"SPT1: Annual amount of waste received: <FY2026 onward> 28,860 tons 
SPT2: Annual power generation from biomass use: <FY2026 onwards> 4,578MWh","The spread will be lowered if both SPT1 and SPT2 are achieved each fiscal year, based on the achievement of the SPT.","June 2026 will be the first determination, and the actual KPI values for the period ending June 30 of each year thereafter will be published on the company's website and reported to the lender by the end of September of each year."
"NAGANO CO., LTD",Others (including service industry),"The Higo Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.　※",10,billion yen,"SPT1: Annual amount of waste received: <FY2026 onward> 28,860 tons 
SPT2: Annual power generation from biomass use: <FY2026 onwards> 4,578MWh","The spread will be lowered if both SPT1 and SPT2 are achieved each fiscal year, based on the achievement of the SPT.","June 2026 will be the first determination, and the actual KPI values for the period ending June 30 of each year thereafter will be published on the company's website and reported to the lender by the end of September of each year."
ANRITSU CORPORATION,Manufacturing,"Syndication method 
(Arranger:Sumitomo Mitsui Banking Corporation）
Sumitomo Mitsui Banking Corporation、Sumitomo Mitsui Trust Bank, Limited、Mizuho Bank, Ltd.、MUFG Bank, Ltd.、The Bank of Yokohama,Ltd.、The Norinchukin Bank","March, 2023",ー,"Rating & Investment Information, Inc.",ー,,"①Reduce Anritsu Group greenhouse gas emissions (Scope 1+2) in FY2024 by 14% or more compared to FY2021 results
②Obtain CDP Climate Change Score A",Lending terms and conditions are linked to Anritsu's achievement of SPTs and are set to provide incentives for achieving SPTs.,"Anritsu plans to disclose the Anritsu Group's actual GHG emissions (Scope 1+2) in its annual Sustainability Report. The results of the CDP Climate Change Score assessment will be published on CDP's website, and Anritsu will also publish the latest assessment results on its own website."
"JECT ONE CO.,LTD.",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.2,billion yen,Number of vacant houses rented,"Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
Maruyama Towel Corporation,Manufacturing,"The Hiroshima Bank, Ltd. ","March, 2023",5 years,HIROGIN area design Co. Ltd. ,0.1,billion yen,"Percentage increase in sales of towel products made from organic cotton 
FY2023-FY2027: 8% (Compared to actual results in the previous fiscal year)",Offer preferential interest rates when SPTs are achieved.,"Once a year, the SPTs achievement status is defined as a confirmation of the company's achievement of the SPTs with the value of the company's fiscal year. A company is required to obtain confirmation from Hirogin Area Design before conducting reporting. Public disclosure of reporting information is encouraged."
"NANSEI CO.,LTD.",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.2,billion yen,Increase in ownership of eco-friendly trucks and eco-friendly passenger vehicles ,"Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
Okayama Mazda,Transportation Machinery,"The Chugoku Bank, Ltd","March, 2023",４ years,Okayama economic research institute,0.3,billion yen,"Percentage of sales of electric vehicles (BEVs and PHEVs) (%)
<Target>
FY2023 2.5％,　FY2024 5.0%, FY2025 7.5％",The system is designed to apply a pre-determined reduction in interest rates when the SPTs are achieved.,Submit materials showing the status of achievement of SPTs as of the judgment reference date in the prescribed form once a year until the fulfillment of the obligation is completed.
oyanagi construction inc.,Real estate and construction,"Daishi Hokuetsu Bank, Ltd","March, 2023",ー,"Rating & Investment Information, Inc.
Daishi Hokuetsu Research & Consulting.Ltd.",1.2,billion yen,"Initiatives in the Holostruction business, an application that streamlines construction management in the construction industry","In principle, a mechanism has been set up to check the achievement status of SPT on an annual basis and to reduce the interest rate according to the level of achievement.","Once a year, Daishi Hokuetsu Research & Consulting will report on the status of SPT achievement based on client information. Disclosure of the reporting information is at the discretion of the client."
Ｓ.Ｋ.Ｒ ,Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"Reduction rate of CO2 emissions
 (actual results: FY2022 (Jan. 2022-Dec. 2022) CO2 emissions 365.01 t-CO2) 
【Target】(compared to FY2022) 
FY2023 -2.7%
FY2024 -5.4%
FY2025 -8.1% 
FY2026 -10.8% 
FY2027 -13.5%  
FY2028 -16.2% 
FY2029 -18.9% 
FY2030 -21.6% 
FY2031 -24.3% ","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Seishin Holdings
（誠伸ホールディングス）",Transportation,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.188,billion yen,"CO2 emissions reduction rate per million yen of sales (compared to FY 2019, %)
FY2023: 11.42%, FY2024: 13.91%, FY2025: 16.41%, FY2026: 18.90%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
