"Title","Created","LastEdited","Agency","Description","ProblemBy","ProblemOf","Status","Votes","ID"
"ACC Carpal Tunnel Syndrome claims 2015-2020","2021-01-14 13:24:16","2021-04-10 22:13:23","Accident Compensation Corporation","I am looking for the number of Carpal Tunnel syndrome (CTS) claims made in the time period 2015-2020, number of declined CTS referrals, including geographic and demographic details (i.e age/gender/location within NZ)","The project Team are unsure how large the problem of Carpal Tunnel syndrome is within the population, as some are managed by MOH and some by ACC. We are unsure of the number of declined referrals by ACC. Having this information will also help inform the need for sufficient workforce ( Surgeons, PT's and ancillary staff) in the public space. ","I am a Clinical Editor working with Health Pathways in SDHB, we are currently analyzing this pathway (Carpal Tunnel syndrome patients) for patients with a view to improving the service and information available to GP and patient handouts ","Agency responded","2","557"
"NZ Post Codes","2021-02-24 14:42:20","2022-11-25 05:11:53","New Zealand Post Limited","Would like a csv file of NZ postcodes and corresponding towns / areas","","I would like to match NZ towns to the correct postcode","Agency notified","2","570"
"Food Grant Data - applications and decisions by region","2024-05-09 10:02:27","2024-05-21 23:41:53","Ministry of Social Development","At present, the Social Development Data tool (https://www.data.msd.govt.nz/) will show hardship grants by volume at a regional level. It does not show food grants specifically. It also gives no indication of how many applications were declined. 
This requests asks that the Social Development Data tool be updated to include regional data on
the number of food grant applications received
the number of food grant applications approved
the number of food grants applications declined
the number of food grant applications made by beneficiaries
the number of food grant applications made by non-beneficiaries
household composition of food grant applicants
the dollar value of food grant applications approved","Knowing more about who is food insecure in our region would help in the design of food security initiatives. Monitoring the need for food assistance over time would help councils, food crisis services and food security initiatives understand their impact.","Opening this data would provide timely regional information relating to food security. At present, regional food security data is difficult to come by. Having this data would help monitor the impacts of different regional services and initiatives aimed at reducing food insecurity. ","Agency notified","2","1083"
"NZ Post Codes","2021-03-08 16:14:31","2022-11-25 05:11:45","New Zealand Post Limited","I would like a list of all the NZ Postcodes for all the suburbs for the whole of NZ","We would be able to upload this to our system to ensure that all the postcodes are captured.","We require this information to be able to add it to our system to enable us to identify the areas that our contractors cover.","Agency notified","2","573"
"Accredited NZ Employers Email and contact information","2024-05-16 04:00:13","2024-05-22 11:58:47","Auckland Council","I am writing to introduce all accredited NZ Employers to introduce my company nowzenlife, a company dedicated to bridging the gap between the skilled workforce and employers in New Zealand. Having observed the increasing demand for talented professionals and the evolving immigration policies, we are excited to offer our services in connecting accredited New Zealand employers with proficient Spanish-English speaking employees.","Reducing the time I spend searching for each contact detail individually on the internet.","I need the name, website, email, and contact person's name. Thank you very much.","Agency notified","2","1085"
"Lidar for Aotearoa - NZ","2022-11-09 15:13:03","2023-11-05 16:50:48","Ministry for the Environment","All possible Lidar information to enable accurate environmental modelling for Aotearoa","Allowing integration with publicly available sattelite data to provide higher resolution on key metrics","Developing effective Biodiversity and GHG metrics and dynamics","Agency notified","2","830"
"Request for base station information throughout New Zealand ","2021-03-11 21:01:55","2022-01-19 11:43:04","Radio New Zealand Limited","I am trying to gather data for all mobile base station sites including; (1) location (Latitude&Longitude), (2) height of tower or radiation centers of antennas Height above average ground level, (3) frequency blocks in use, (4) operator name. Ideally, I am also hoping to get transmit azimuth, tilt and transmit power and air interface in use.  I realize that this is asking for a lot, but I've been very impressed in the past with how transparent the NZ public records are, and hope these may be as well. ","My consultancy will examine the expectedly low interference potential and present and how coverage through LEO satellite can expand and extend coverage without hurting capacity noticeably.  

Radio Spectrum Management","I am doing an analysis of radio interference potential for a mobile LEO satellite system using cellular frequency bands to expand coverage throughout rural ares of New Zealand, and rather than analyze a hypothetical network, I hope to use actual network coverage in mountainous and at sea.","Agency notified","2","575"
"Causes of vehicle crashes in NZ","2021-03-18 13:18:09","2022-11-30 12:20:47","NZ Transport Agency","I would like to request detailed information about the causes of vehicular accidents in NZ, specifically more in-depth details on the ""vehicle factors"". I am interested to know the data on how many vehicle accidents attribute the cause to mechanical failures (engine and/or suspension related) and electrical failures (lighting related failures). I have downloaded the CAS data, but it does not contain this kind of information. The data format can be the accident code + description based on the Ministry of Transport document ""causative and contributory factors"", or it can be natural language text as written down by the emergency or police on-site in their accident report. The format requested is either CSV or XLSX. ","It also relates to the effectivity of the WOF inspections, and if these inspections are able to capture and/or prevent potential accidents. ","determining how many vehicular accidents are caused by mechanical failures of the car. It also relates to the effectivity of the WOF inspections, and if these inspections are able to capture and/or prevent potential accidents. ","Agency responded","2","576"
"Maxillofacial trauma in the Elderly","2021-04-22 15:06:37","2022-12-18 13:08:15","Accident Compensation Corporation","Would you kindly be able to obtain data on the  total number of ACC claims for maxillofacial trauma  for the elderly (65+) per year from 2000-2020

-Total number of claims
-Cause of claims. (falls, motor vehicle accidents, interpersonal violence etc)
-type of injury
-stratified by age (65-74, 75-84, 84+), sex
-cost 
-ethnicity
-area/region
","describing the occurrence of maxillofacial trauma involving New Zealanders aged 65 and over during the 1990s.","to analyse the trends in maxillofacial trauma in the elderly in NZ","Agency responded","2","600"
"Gambling Statistics, Wairoa, Hawkes Bay","2021-05-03 14:41:04","2021-05-28 13:21:46","Department of Internal Affairs","Could I please have a breakdown of gambling statistics for Wairoa, Hawke's Bay - particularly pokie machines, including per capita statistics, and where they sit nationally e.g. top 5 districts.","Opening this data would clarify the discrepancy between the two media releases to date.","I produce short-form video news stories in Wairoa. I would like to produce a short-form video news story about gambling in Wairoa, Hawkes Bay. There have been two media releases recently: one reports Wairoa as having the highest per capita pokies spend, the other reports it as having the third highest spend per capita.","Agency responded","2","602"
"Speeding Infringements Statistics from Mill Road in 2022  ","2023-02-25 16:15:53","2023-03-10 12:12:57","New Zealand Police","I would like to request the statistics for the number of speeding infringements detected by the speed camera on Mill Road, Locality: Totara Park, Auckland, for the period 01 Jan 22 to 31 Dec 22 inclusive.
I would like to request to have the statistics to be broken down to show the number of infringements month by month.
","Being able to verify if this claim is correct.","There have been numerous claims from locals around East and South Auckland that the above mentioned speed camera has detected more speeding infringements in December of 2022 than previous months. ","Agency notified","2","868"
"ACC falls","2018-11-27 11:37:15","2019-01-17 16:15:02","Accident Compensation Corporation","Falls data - currently Whanganui data bundled with Manawatu - doesn't assist us see our community data ","Allowing local analysis","Assist planning promotion and also comparing against in hospital data - I assume this dataset doesn't include TI??","Agency responded","2","363"
"Geotechnical Logs","2021-06-04 10:50:20","2022-12-18 13:07:06","Earthquake Commission","Dear team,
I am trying to explore the geotechnical data from the well-log information. I could see in the provided ESRI map that a number of CPT, SPT, VsVp measurements are available for the Christchurch and Canterbury region but, couldn't find a link to download those data. I, therefore, request you to kindly guide me through the process to get all the available geotechnical data for the region. I am comfortable with .SHP and .CSV (with coordinates of the points) file formats.","","I need those data for my PhD research. I am trying to use machine learning to study the liquefaction potential in the Mississippi Embayment and the enormous volume of geotechnical data from Christchurch and Canterbury will be the best training dataset for my research.

Thanks","Agency notified","2","621"
"Accidents on Public Transport and in private cars involving children.","2023-03-27 16:05:22","2023-09-06 14:48:49","Accident Compensation Corporation","Data of claims about children being injured on Public Transport and in private cars in Auckland. ","Helping Auckland Transport gather the right information to revise their conditions of carriage. It would allow us to identify the risks and set up provisions to ensure children's safety.","Children between age 5 and 10 traveling on small passenger services unaccompanied.","Agency responded","2","882"
"Livestock slaughter statistics by Territorial Authority","2023-04-03 20:04:19","2023-10-19 15:31:12","Ministry for Primary Industries","Annual livestock slaughter data including total animals slaughtered, average weight at slaughter, and condemned carcasses by animal (particularly cattle, calves,  pigs, sheep, lambs, and goats) by Territorial Authority (or Statistical Area 2) for any period of time available. Formatted as a csv or excel document. ","Providing data by region on the share of livestock that are condemned.","conducting research into regional differences in pastoral animal disease.","Agency notified","2","884"
"Accredited companies","2023-04-04 22:41:37","2023-08-06 02:54:59","Accident Compensation Corporation","Looking for a job at accredited company in auckland ","","Job searching in accredited company automotive electrical ","Agency responded","2","885"
"Data request for all post code area boundaries in NZ","2021-06-18 13:56:23","2023-07-21 21:42:10","Auckland Council","Any of the below formats please
CSV
TSV
KML
KMZ
GPX
XLSX
Google Sheet","","Mapping out territories for our sales reps","Agency responded","2","630"
"Enrolment and Voting Statistics from the General Election held on 23rd September 2017","2019-02-16 10:30:29","2023-10-09 20:56:11","Electoral Commission","Detailed statistics on the 2017 general election, in the same format as previous years.","","Available statistics for general elections not being up to date.","Agency responded","2","376"
"NZ Talent (accredited employer) number","2023-04-13 01:32:33","2023-10-13 16:29:18","Ministry for Primary Industries","Seeking accredited employer number of Ministry of Primary Industries (MPI). I understand that my offer is from MPI through NZ Talent Aquisition Team hence seeking NZ Talent (accredited employer) number to complete my work visa application form, for Employer Accredidation Number. ","","Employer Accredidation Number for Ministry of Primary Industries or NZ Talent","Agency responded","2","888"
"Census Dataset till 2023","2023-04-18 17:35:43","2023-08-06 02:55:58","Statistics New Zealand","Hi, I'm Randeep and I'm doing the course of Data Science and AI and need the dataset to perform experiment on what I'm learning the course.
I tried to find the datasets online but it's only the results, not the original datasets on which I can perform my learning.
As I'm aware of privacy policies, please remove all the personal information from that data and please forward me the rest of the data which is safe to do so.

i need this data in CSV format please. the requirement for the mini project is minimum of 1m rows and 10+ columns.

I will be really tankful of you for this.","I will perform my data scientist strategies on the data to see the problems in it by analysis and visualization techniques to understand the current problems.","I will look on the insights of data and try to find out the questions and try to solve by the techniques i'm doing in course.","Agency notified","2","893"
"Injuries due to hiking and mountain biking (separately) from the period 2015-2021","2021-07-23 09:39:03","2024-03-25 20:20:12","Accident Compensation Corporation","We are seeking to obtain a further breakdown of the Sport Injury Data looking specifically at; Mountain biking : Hiking Sport: A similar dataset which was presented for 'Running Related Injuries' on this site; would serve as a good example. Including: - Total claims for each year (last 10 years) - By region (Location) - Ethnic Groups - Ages - Sex - Types of Injuries - Injury Cause and; - Injury Site. CSV/Excel data is fine. We would like to get access to dataset for injuries caused due to mountain biking and hiking (two different datasets) during the time period of 2015 to 2021. ","Allowing a better understanding of the very high prevalence of injuries in undertaking these sports (mountain biking and hiking) to find out which one comparatively more risky and how these risks can be assessed and practical solutions be found to reduce these. ","We wish to work to find solutions to reduce the injuries caused in this area of sports related injuries (mountain biking/ hiking). 
We want to better understand the risks involved in engaging in these sports. and the correlation between the high incidences of injury, age demographic and sites where injury is occurring. We want to undertake risk analysis for these sports and undertake risk assessment by providing simple practical solutions to minimise those risks","Agency responded","2","638"
"Registered Marriage Celebrants - North Shore","2013-01-03 11:40:52","2015-10-16 13:15:31","Department of Internal Affairs","Is it possible for data - total numbers only - on all registered Marriage Celebrants in the North Shore ( Auckland ) area?
If male and female could be separated that would be great but is not imperative.
Thank you.","","Being able to view the data would help to support my application in becoming a Marriage Celebrant. It would make the task of collating this information a whole lot easier for me.
Thanks very much.","Agency responded","2","127"
"Soccer sports Injuries ","2021-07-25 12:43:14","2022-03-01 10:34:10","Accident Compensation Corporation","I am trying to find data relating to the number of new soccer injury claims from 2008/09 to 2019/20 by type of injury / age / sex (particularly male)","","I am trying to obtain background information for my Yr13 HPE scholarship report on the well-being of adolescent male soccer players who have specialised in their sport from an early age and those that may have experienced injury. This would provide me with data on whether there has been an increase over this period of time, and what type of injuries have been incurred.
Do you have data on the specific type of sporting injuries incurred in the following injury diagnosis?
   - Soft Tissue Injury (Contusion, Internal Organ, Strain)
   - Fracture/ Dislocation
   - Infected/ Non-Infected Laceration, Puncture Wound, Sting
   - Dental Injuries
   - Concussion/ Brain Injury
   - Other
","Agency notified","2","640"
"DOC - Waitakere Ranges Heritage Area monitoring","2023-05-09 11:05:26","2023-11-05 16:46:09","Department of Conservation"," I am looking for Department of Conservation environmental monitoring data for 3 environmental monitoring plots located within the Waitakere Ranges: Plot #s CF40, CG40, CG41 and CH41. This would be best if in an ArcGIS shapefile layer. I would like any data collected during environmental monitoring, of different types -- vegetation, pest plant and animal, bird counts, etc, along with geographic coordinates for the plots.","","This data will be used in my MSc Thesis in Environmental Science. Part of my thesis research involves the creation of a summary of environmental monitoring in the forest systems of the Waitakere Ranges Heritage area. This summary will inform the creation of cultural indicators for enviromental monitoring working with the mana whenua of the region.","Agency notified","2","899"
"Park Extent","2023-05-11 14:44:43","2023-08-06 02:54:09","Auckland Council","Park Extend file has problems. There is only one observation in the shapefile. And the older version doesn't exist.","","It is essential for the acquisition and dissemination of accurate and up-to-date information, as well as the advancement of knowledge through research.","Agency notified","2","900"
"NZES2020: Election Survey Results","2023-05-17 22:25:33","2024-04-12 12:31:02","University of Auckland","previous elections survey results appear to be available but note for the 2020 election","the survey would show changes in voting from the prior election","understanding whether and how much ""strategic"" voting occured in the 2020 election.","Agency notified","2","902"
"Central Hawkes Bay Nga Whenua Rahui land parcels","2019-03-27 15:08:07","2019-04-29 05:42:03","Department of Conservation","Land parcels under Nga Whenua Rahui administration in the Central Hawkes Bay area in particular (Hawkes Bay in general) in ESRI Shapefile format NZTM 2000 (EPSG 2913)","Showing all Nga Whenua Rahui land in the Central Hawkes Bay and indicating that it has been considered in the draft District Plan will aid in building confidence in the plan and processes used in its development","The Central Hawkes Bay District Council is compiling a District Plan which includes environmental factors. The provision of this data wil ensure that all land under covenant or other legal authority will be properly considered in the plan","Agency responded","2","391"
"Sports Related Concussion- Maori  Pacific","2023-05-18 13:08:07","2023-08-06 02:53:51","University of Auckland","Can I  please get the statistics (Data) for sports related concussions for  Moari pacific . I am a student and doing a project on it.","","It will help my Project","Agency notified","2","903"
"History of the Prince of Wale hotel, Dunedin ","2023-05-30 14:07:48","2023-08-24 15:29:07","Dunedin City Council","We are looking for the title and any infomation of the Owner/Hotel licensee of the Prince of Wales, 474 Princes street , Dunedin. 

The liecenee name was ""George Davis"" . He had the pub from 1862 - 1864

Any infomation  that  you can find would be much appreciated.  If this is not the place to find this infomation we would appreciate advice who we should/could contact please.
","We would understand who George Davis was and hopefully find infomation on where he went.","History of this Licensee/Gentleman ","Agency notified","2","907"
"Snowsports injury data","2023-06-01 13:38:21","2024-02-12 08:50:18","Accident Compensation Corporation","Annual snowsports injury claims data, hospitalise and non hospitalised, genders, ages, injury nature and causes, recovery times, permanent or non permanent disability, costs, in summary report format if available of xlx or both.","providing me with the data to compare how the snowsports industry contributes to the overall burden of injury related health loss.

Thank you for your assistance.","I am studying for diploma in Health and safety and am reviewing the Burden reports and would like to analyse snowsports injury data against the all burden of injury related to health loss data in the burden reports. my discussion paper is required to be submitted on 18 June 2023.","Agency notified","2","911"
"Maori workplace fatalities","2019-06-10 20:58:06","2019-09-01 12:39:12","Accident Compensation Corporation","Maori workplace fatalities since 2010","as above","Provide data for research into making workplaces safer for maori. 

As a treaty partner this information should be available as of right and not a request","Agency responded","2","401"
"New injury-related claims for aged 0-19 years from 2012 o 2022","2023-06-08 09:04:32","2024-01-31 13:23:15","Accident Compensation Corporation","New injury-related claims for aged 0-19 years from 2012 to 2022 in excel form","","Identifying trends and patterns of injuries for aged 0-19 years  in NZ ","Agency notified","2","917"
"Hot water bottle injuries ","2019-06-24 15:19:22","2020-02-28 09:02:44","Accident Compensation Corporation","We're updating a story about hot water bottle safety in winter-time. 
Are you please able to provide your most recent ACC statistics regards hot water bottle injury claims in NZ? 

i.e How many claims were made in 2018,
How many more claims were made in 2018 compared to previous years
What is the average number of claims made each year
Were these mostly made by a specific demographic (more female than male, a certain age etc.)
","Warning the public about the use of their hot water bottles and suggesting safety tips. ","Higher numbers of hot water bottle injury claims. 
","Agency responded","2","407"
"Nasogastric Tube Statistics in Babies","2023-06-14 18:04:26","2024-03-20 09:57:48","Auckland District Health Board","I am needing to know how many babies in New Zealand use Nasal Gastric Tubes each year.  
Specifically I need this data for babies between the ages of 0 to 12 months.","To understand how many babies need this, to prevent further injuries and trauma.","This data is required for a supportive device to prevent NG tube injuries.  All babies pull out their tubes, it is both risky and traumatic to insert an NG tube.  I require this data to know how many babies need this device each year.
","Agency notified","2","923"
"Northland Nga Whenua Rahui Covenants","2019-07-10 11:37:26","2022-01-12 15:53:32","Department of Conservation","As part of our Far North District Council district plan activities,  we would like to add spatial data to our esri platform regarding Nga Whenua Rahui Covenants.
One of our Policy Planners has advised that there are around 17 sites in our district - we have a list, but no spatial datasets.
I have looked at the DoC site, and can only see datasets relating to birds.
The MfE site states:

""mapped (digital) QEII National Trust, [The QEII data excludes 505 covenants approved but awaiting registration, equalling 18,724 ha. Only registered and surveyed QEII covenants were included.] Nga Whenua Rahui and DoC data [These datasets (DoC covenants and Nga Whenua Rahui covenants) are not complete nationally.] for covenants on private land and protected areas on public conservation land managed by DoC.""","","If we are unable to source this data we may have to assess a manual collation activity, which would place strain on our resources, as we are a small district council.
","Agency notified","2","412"
"type and number of online banking frauds, scams through unauthorized access to personal information of consumers","2023-06-16 17:34:30","2023-08-06 02:52:31","Unitec Institute of Technology","Hi There, 
I need data last at least 5 years related to online Banking frauds and scams for further research on such cases related to AI and Machine learning.
The data can be in the form of type, number and monetary losses to consumers. I don't need the name or any other details. You can provide the data in Excel or Word. If possible the name of the major Bank or Banks or regions of New Zealand, where the highest number of such frauds has taken place. ","I will provide a set of simple rules and suggestions which can be implemented by authorities for better cyber security norms and regulations and also make people more alert about it. 
I don't need the data of any individual or institution. Just types and figures of scams are needed with details of major banks or regions in it. ","I will be doing further research on the technical and AI-related aspects of these scams and how we can prevent and minimise them in New Zealand and help people from such scams.","Agency notified","2","924"
"I am looking for floodplains or historical flooding data (for GIS use) for Auckland. ","2021-09-16 09:41:44","2023-03-29 17:01:54","Auckland Council","The link to the following data source on your website is broken (404 error) 
Catchments and Hydrology (Geodatabase)
Auckland Council
The Catchments and Hydrology dataset contains the following features: Overland Flow Paths, Flood Prone Areas, Flood Sensitive Areas, Flood Plains and Stormwater...","","We are working on a site suitability project (it's a student project at a US university). Having the floods would give us areas to avoid. ","Agency responded","2","669"
"NZ rates rebates scheme - charts of rates rebates for 2017-2018, 2018-2019 2019-2020 ","2019-08-02 16:48:07","2020-03-03 15:18:52","Department of Internal Affairs","charts of rates rebates for the years 2017-2018, 2018-2019, and 2019-2020 ","I want to correct this misinformation.","Someone on Facebook is suggesting the Government has taken money from the rates rebates scheme to pay for the winter energy payment scheme.  I want to correct this.","Agency responded","2","415"
"TBI in children","2021-09-29 13:50:39","2022-10-06 21:51:38","Accident Compensation Corporation","I would like to know the most recent prevalence of TBI in children in NZ aged up to 10 years old, preferably for each year of age.","","Assisting me to complete my research proposal for my Masters thesis looking at TBI and conduct disorder in children.","Agency responded","2","671"
"ACC Traumatic Brain Injury and Concussion data by region","2023-06-27 17:10:49","2024-01-18 15:01:43","Accident Compensation Corporation","We would like to see ACC data relating to Traumatic Brain Injuries (TBI) and Concussion for Nelson, Tasman, Marlborough and West Coast regions which includes accident type, sporting code, gender, ethnicity and age group. It would be most helpful if this was available in editable spreadsheet format so that we can filter this according to each data field and produce graphics for educational purposes.","We offer information and education programmes on brain health and injury prevention to a range of ages and people in the community. We also seek funding from national funding organisations eg who support sporting codes, so being able to present real data relevant to a particular sport and by age groupings would be very helpful.","We are a New Zealand charitable organisation covering the top of the South Island and the West Coast.  This data would assist us immensely in providing up-to-date, reliable data to our key funders when submitting our grant applications.  The funders, particularly Lottery Grants Board, Rata Foundation and Lion Foundation, frequently advise it would be helpful to see more specific data than our local client base statistics. ","Agency notified","2","928"
"Mental Health and Addiction Service Use - 2014 to present","2019-09-09 20:58:35","2022-12-18 13:17:37","Ministry of Health","I saw the Mental Health and Addiction Service Use datasets, but they only go up to 2013, and I was hoping I could get them up to the most recent one if available. ","","I am doing a research project at university, and am interested in analysing the data, particularly in relation to electroconvulsive therapy use in New Zealand. However, more broadly, mental health is a relevant issue in New Zealand, and I think that the most up to date data should be available for all to view. I believe that xlsx or a csv file would be useful for the purpose of analysis.","Agency notified","2","420"
"injuries and fatalities that occurred during rafting and kayaking","2019-09-20 18:10:16","2021-01-19 15:57:06","Accident Compensation Corporation","Injuries and fatalities that occurred over the last 5 years during white water rafting, white water kayaking and sea kayaking activity.","","Understanding injury and fatalities to assist in educating students studying this sport who will become instructors and guides in these water based activities and will be responsible for keeping others safe.","Agency responded","2","423"
"mitigation in public places and private residential properties","2023-07-31 13:28:44","2023-08-07 21:48:03","Waikato District Health Board","solving a neighboring issue in the last 35 years","Counter-Terrorism & mitigation to the community advisory board","exposure to the elements or extreme temperatures
dispute resolution causing criminal activities
","Agency notified","2","936"
"Folio Numbers for Historical Birth and Death Registrations","2023-08-11 11:19:00","2024-03-18 14:40:58","Department of Internal Affairs","Births, Deaths and Marriages Online provides public access to a large database of historical births, deaths and marriages.  This is a vital resource to historians and researchers.

However the search results do not include the Folio Number associated with each birth/death registration.

The Folio Number refers to the page number in the official register at the time the original registration was recorded.  This is useful because it can be used to look up what district the birth or death was registered in, using publicly available District Key documents.

The folio number is already publicly available information - in numerous public libraries historical BDM records are available to peruse via microfiche and these include the Folio Number.  The absence of the folio number from the online BDM search tool makes the search results significantly less useful compared to the library microfiches, but obviously these microfiches are not nearly as accessible as a website, particularly for disabled researchers.

Recent legislation explicitly supports making Folio numbers available - see the Births, Deaths, Marriages, and Relationships Registration Act 2021, Section 89 (2): 

""The Registrar-General may also make available, in respect of a birth, marriage, or death recorded in a pre-1998 register, the folio number for the information.""

Data Formats

The folio number data could be provided a number of formats, whichever is most convenient to BDMs/DIA:
- Added as a column on the BDM search results (most preferable, but may involve some website development work)
- Provided as a CSV/spreadsheet (perhaps over multiple files eg yearly) with the folio number listed beside each historical birth/death registration number.
- Provided as a database export (eg a SQL file) - least preferable

Notes

- This request obviously applies ONLY to historical birth and death registrations as per BDM's criteria, eg, births that occurred more than 100 years ago, and so on.
- The sharp-eyed reader may have noticed I have asked only for birth and death folio numbers, omitting marriage registrations. 
 That is because marriage registrations were recorded in a different fashion and their folio numbers do not provide district information.  In addition, marriage registration folio numbers are currently available online via Otago University's Varcoe's NZ Marriages Index.","Providing the folio number would allow researchers to look up what district the birth or death was registered in, using publicly available District Key documents (available at libraries and online, eg, on the NZSG website).

Providing this information online should be a straight-forward task and would be of great benefit to genealogists, historians and other researchers.","BDM's historical birth and death records currently do not include what district the birth or death was registered in, making genealogical and historical research more time-consuming than necessary.

Providing the folio number would give researchers easy access to this important and useful contextual information.

Increasing the accessibility of this data is particularly important for disabled researchers.","Agency notified","2","938"
"Govt office lease basic data","2023-08-11 15:13:15","2023-09-07 14:37:33","Ministry of Business Innovation and Employment","I'm interested in office lease expiry information for NZ government ministries, departments and agencies.

Key details that would be useful:
- Official Name of organisation
- size of office lease in terms of square metres (sqm)
- lease term (in years)
- exact lease commencement date
- exact lease expiry date
- levels and address a specific lease relates to (eg level 2, 101-103 The Terrace, Wellington)","Being better able to gauge potential demand by government for office space in New Zealand markets as determined by lease expiry timeframe.","Helping identify potential demand for office space by department / ministry /  agency as well as location and submarket, and size grouping (eg 1,000sqm+).","Agency responded","2","939"
"NZDF Army Personnel File List - Air Force, Army, Navy","2019-10-16 09:08:11","2022-12-18 13:17:18","Department of Internal Affairs","I am requesting this data in my capacity of Collection Manager, Online Cenotaph at Auckland War Memorial Museum. At the height of the WW100 project Online Cenotaph direct nearly 25% of users to the Archway WWI files. Archives New Zealand holds over 140,000 military personnel files of those who served in the New Zealand Defence Forces up to the end of 1920, including the South African War and WWI. The WW100 period significantly increased the call for the digitisation of post-WWI military personnel of Army files by members of the public. However, I am also requesting that Navy and Air Force as well as Army records be listed and ultimately digitised. This would increase access to our collective military history. ","Supporting the research and whakapapa requests received by GLAM institutions all around New Zealand. To help gain a better understanding of the contribution made by military personnel with specific emphasis on Air Force and Navy that are currently not represented online in Archives New Zealand files. ","Currently having no access to Air Force and Navy records online and limited access to WWII Army records and beyond.  It is a labour and resource intensive process for the NZDFA and Archives NZ to provide scans to individual requestors and a mass description / digitisation would reduce this workload. This work will also preempt the WWII Centenary coming up in 2039. ","Agency notified","2","429"
"Catchments and Hydrology (Geodatabase) Auckland Council","2021-11-05 07:09:41","2024-05-02 17:10:32","Auckland Council","I would like to request this dataset as I can't seem to be able to open it form the opendata portal, it simply takes me to a broken 404 link page. I would like to request the geodatabase file to be sent to me containing the following:

The Catchments and Hydrology dataset contains the following features: Overland Flow Paths, Flood Prone Areas, Flood Sensitive Areas, Flood Plains and Stormwater Catchments.Currency:Overland Flow Paths - last update June 2013Flood Prone Areas - last update September 2013Flood Sensitive Areas - last update May 2013Flood Plains - last update July 2013Stormwater Catchments","","Being able to overlay overland flow paths and flood prone areas on our GIS system. Otherwise I am currently georeferencing images and it's tedius and time consuming. ","Agency notified","2","687"
"Map of Plant Nurseries in NZ","2021-11-16 13:50:28","2023-10-01 12:56:18","Ministry for Primary Industries","A map that displays the geographic location of all plant nurseries in New zealand. including wholesale/retain, native, ornamental, specimen nurseries etc.
the map could just display a point or a symbol on the co-ordinates of every nursery in new zealand
","","Business planning within the horticultural sector due to limited information on the web. Research on target markets for selling/purchasing products.","Agency responded","2","692"
"Rugby injury 2022","2023-08-29 14:02:41","2024-01-31 09:01:04","Accident Compensation Corporation","Injury claim numbers and costs for male and female rugby players in 2022 census period","","Identifying differences in gender injury incidence","Agency notified","2","948"
"Accredited employers information for Hamilton","2023-09-15 16:13:19","2023-12-08 11:58:27","Ministry of Business Innovation and Employment","how many accredited employers are based in Hamilton City (TA boundary)  and how many are in Waikato Region (RC boundary)? 

How many complaints have been received about business based in Hamilton and Waikato? And have any of these led to an assessment or a suspension? 

I assume there is minimal data, so just an email is find. If there is lots, then excel","","Hamilton City Councilors have asked me to monitor this due to high migration and concerns in the media","Agency notified","2","959"
"Average expense per claim by injury type in last 12 months","2019-12-23 02:00:44","2020-05-11 10:52:12","Accident Compensation Corporation","Wanting to receive the data on average expense to ACC per claim by injury type in last 12 months. 

Acc expense per claim by injury type. Injury type would refer to the actual condition that a patient suffered as a result of being injured and for which they were diagnosed by a health professional. For example, grade 2 MCL tear. 

It would be preferable that the information be presented in raw data format in the form of an excel spreadsheet or similar program. 

Alternatively, if there is an internal ACC report that outlines this information o would be happy to receive a copy of such report(s). ","Making the information available in a workable format. ","understanding the wider cost to state funded health care insurance based on a per injury basis over a 12 month period. ","Agency responded","2","448"
"AIGA ATIA'E PASEFIKA FAMILY TRUST","2021-12-23 02:51:24","2022-04-03 12:48:04","Alcohol Advisory Council of New Zealand","NGO SOCIAL SERVICE","Aiga Atiae pasefika family Trust","SOCIAL SERVICE PROVIDER","Agency notified","2","707"
"Total Number of Food & Beverage related business's in New Zealand ","2023-10-06 15:27:52","2023-10-16 12:02:56","Ministry for Primary Industries","We need figures on the total number of business's that will be effected with the recent announcement that all food or beverage companies be it manufacturers importers distributor's will need to have in place a recall programme in place by ~June 2024.  We want to understand the scale  

NZ Food businesses now need to complete yearly mock recalls.

In July 2023 NZ a change in the NZ legislation made it a mandatory requirement to conduct a mock recall every 12 months for all businesses with a plan or programme under the Food Act, Wine Act, or Animal Products Act, as well as food importers and exporters.
The MPI web page has detailed information regarding their requirements and as a result expectations of records that need to be kept for the verifier, during the next audit after June 2024.
The checklists and processes are clearly identified on the MPI website.
 https://www.mpi.govt.nz/food-business/food-recalls/doing-food-recall 

https://www.mpi.govt.nz/dmsdocument/50630-Simulated-Recall-Guidance-For-Food-Businesses
","Help the food & beverage industry ","Knowing the scale of the possible implications especially for small to medium so we can offer solutions ","Agency notified","2","964"
"Mental Wellbeing/Health in Tertiary Education","2022-01-20 19:11:52","2023-03-21 21:40:33","Ministry of Education","I would like to enquire whether there is data on students enrolled in tertiary education, their academic performance and mental wellbeing indicators (depression, anxiety, stress etc.). I would like to have the file in an ideal format to clean and sort in R (eg. CSV)","I would like to analyse the data and write an honours' thesis on it.","I would like to analyse the impact of mental wellbeing on students in tertiary education. As COVID-19 has demonstrated, mental health is a serious issue and something that is very important to look into. In particular, students in tertiary education deal with the pressure of academic studies and also societal pressures and understanding more about this will help to look at how policy and university services can help this group of people.","Agency responded","2","712"
